code|name|sec|day|time|room|lecturer
002411|Listening and Speaking in French 2 การฟังและการพูดภาษาฝรั่งเศส 2|001|MTh|1300-1430 - -|HB5300|JULES GOURLAIN
011498|Cooperative Education สหกิจศึกษา|000|MTh|1600-1730 - -|TBA|ปรุตม์ บุญศรีตัน
128751|Local Governance for Sustainable Development การบริหารปกครองท้องถิ่นเพื่อการพัฒนาที่ยั่งยืน Class period 31 Jan. 2026 to 22 Mar. 2026|801|Su|0900-1630 - -|TBA|ปฐมาวดี จงรักษ์
751810|Advanced Time Series Econometrics Analysis การวิเคราะห์เศรษฐมิติอนุกรมเวลาขั้นสูง|701|TBA|0000-0000 - -|TBA|วรพล ยะมะกะ
177440|Public Economic and Finance Law กฎหมายมหาชนทางเศรษฐกิจและการคลัง|001|TuF|0930-1100 - -|LB1404|ไพสิฐ พาณิชย์กุล Co-Instruc เชิญพร เรืองสวัสดิ์
177440|Public Economic and Finance Law กฎหมายมหาชนทางเศรษฐกิจและการคลัง|002|Tu|1630-1930 - -|LB1404|ไพสิฐ พาณิชย์กุล Co-Instruc เชิญพร เรืองสวัสดิ์
177440|Public Economic and Finance Law กฎหมายมหาชนทางเศรษฐกิจและการคลัง|801|Tu|1630-1930 - -|LB1404|ไพสิฐ พาณิชย์กุล Co-Instruc เชิญพร เรืองสวัสดิ์
177440|Public Economic and Finance Law กฎหมายมหาชนทางเศรษฐกิจและการคลัง|802|TuF|0930-1100 - -|LB1404|ไพสิฐ พาณิชย์กุล Co-Instruc เชิญพร เรืองสวัสดิ์
017231|Hindi in News ฮินดีในข่าว|001|TuF|1300-1430 - -|HB7603|DIPTI KUMARI SHARMA
015102|Beginning Pali 2 บาลีขั้นต้น 2|001|TuF|1430-1600 - -|TBA|นาวิน โบษกรนัฎ
004451|History of Emotion ประวัติศาสตร์อารมณ์ความรู้สึก|001|We|1300-1600 - -|HB7401|สิงห์ สุวรรณกิจ
104334|Analysis in Thai Painting การวิเคราะห์งานจิตรกรรมไทย|001|MTh|1330-1530 - -|FB1308|วรรณุฉัตร ลิขิตมานนท์
851212|Computer Software Usage for Motion Picture Production การใช้โปรแกรมคอมพิวเตอร์สำหรับผลิตงานภาพเคลื่อนไหว|001|MTh|0930-1100 - -|MCB2209|อภิภู กิติกำธร Co-Instruc ธิติ เกตุทัต
013206|Physiological Psychology สรีรจิตวิทยา|001|TuF|1430-1600 - -|HB7503|วีรวรรณ วงศ์ปิ่นเพ็ชร์
001423|English for Business Entrepreneurship ภาษาอังกฤษสำหรับการเป็นผู้ประกอบการธุรกิจ|001|MTh|0930-1100 - -|HB7604|กัลยา บูรณ์สิริจรุงรัฐ
001423|English for Business Entrepreneurship ภาษาอังกฤษสำหรับการเป็นผู้ประกอบการธุรกิจ|002|MTh|1430-1600 - -|HB7401|พยุพล สุทธโทธน
019372|Basic Chinese for Office ภาษาจีนพื้นฐานในสำนักงาน|001|MTh|1300-1430 - -|HB7306|วศิน ศาตพรวรชิต
014382|Lanna Literature วรรณกรรมล้านนา|001|MTh|1300-1430 - -|HB6450|สยาม ภัทรานุประวัติ
004789|Selected Topic in History หัวข้อเลือกสรรในประวัติศาสตร์|001|We|0900-1200 - -|HB2110/1|วิลลา วิลัยทอง
703103|Introduction to Entrepreneurship and Business การเป็นผู้ประกอบการและธุรกิจเบื้องต้น|001|TuF|0930-1100 - -|Online|ศรัญญา กันตะบุตร Co-Instruc วรัทยา แจ้งกระจ่าง นิยตา กาวีวงศ์ อดิศักดิ์ ธีรานุพัฒนา สิริวุฒิ บูรณพิร พิชญลักษณ์ พิชญกุล ศิรวัจน์ ธีราโสภณพงศ์ รอม แพสุวรรณ วรรณัย สายประเสริฐ กันตธัช อัมรานนท์ เขมกร ไชยประสิทธิ์ กุลสิรี โค้วสุวรรณ์ ดำรงศักดิ์ นภารัตน์ สายนที เฉินบำรุง
703103|Introduction to Entrepreneurship and Business การเป็นผู้ประกอบการและธุรกิจเบื้องต้น|002|TuF|1100-1230 - -|Online|วรัทยา แจ้งกระจ่าง Co-Instruc นิยตา กาวีวงศ์ อดิศักดิ์ ธีรานุพัฒนา สิริวุฒิ บูรณพิร พิชญลักษณ์ พิชญกุล ศิรวัจน์ ธีราโสภณพงศ์ รอม แพสุวรรณ วรรณัย สายประเสริฐ กันตธัช อัมรานนท์ เขมกร ไชยประสิทธิ์ ศรัญญา กันตะบุตร กุลสิรี โค้วสุวรรณ์ ดำรงศักดิ์ นภารัตน์ สายนที เฉินบำรุง
703103|Introduction to Entrepreneurship and Business การเป็นผู้ประกอบการและธุรกิจเบื้องต้น|003|TuF|1300-1430 - -|Online|ศรัญญา กันตะบุตร Co-Instruc วรัทยา แจ้งกระจ่าง นิยตา กาวีวงศ์ อดิศักดิ์ ธีรานุพัฒนา สิริวุฒิ บูรณพิร พิชญลักษณ์ พิชญกุล ศิรวัจน์ ธีราโสภณพงศ์ รอม แพสุวรรณ วรรณัย สายประเสริฐ กันตธัช อัมรานนท์ เขมกร ไชยประสิทธิ์ กุลสิรี โค้วสุวรรณ์ ดำรงศักดิ์ นภารัตน์ สายนที เฉินบำรุง
703103|Introduction to Entrepreneurship and Business การเป็นผู้ประกอบการและธุรกิจเบื้องต้น Teaching medium is in English/เรียนเป็นภาษาอังกฤษ|701|TuF|1300-1430 - -|BAB1332|นิยตา กาวีวงศ์ Co-Instruc พิชญลักษณ์ พิชญกุล
703103|Introduction to Entrepreneurship and Business การเป็นผู้ประกอบการและธุรกิจเบื้องต้น Teaching medium is in English/เรียนเป็นภาษาอังกฤษ|702|TuF|1430-1600 - -|BAB1332|พิชญลักษณ์ พิชญกุล Co-Instruc นิยตา กาวีวงศ์
703103|Introduction to Entrepreneurship and Business การเป็นผู้ประกอบการและธุรกิจเบื้องต้น Teaching medium is in English/เรียนเป็นภาษาอังกฤษ|703|TuF|1300-1430 - -|BAB2302|กันตธัช อัมรานนท์
